city,latitude,longitude,country,iso2,admin_name,capital,population,population_proper
Kathmandu,27.71,85.32,Nepal,NP,,primary,845767,845767
Pathlaiyā,27.2005,84.9844,Nepal,NP,Madhesh,,743982,743982
Bardi̇̄bās,26.9917,85.8917,Nepal,NP,Madhesh,,707994,707994
Bharatpur,27.6833,84.4333,Nepal,NP,Bāgmatī,,369377,369377
Pokhara,28.2097,83.9853,Nepal,NP,Gaṇḍakī,admin,353841,353841
Birāṭnagar,26.4833,87.2833,Nepal,NP,Province Number One,admin,242548,242548
Buḍhānilkanṭha,27.7758,85.3619,Nepal,NP,Bāgmatī,,179688,179688
Ghorāhī,28.0408,82.4861,Nepal,NP,Lumbinī,minor,156164,156164
Birgañj,27,84.8667,Nepal,NP,Madhesh,,135904,135904
Tokha,27.75,85.3333,Nepal,NP,Bāgmatī,,133755,133755
Butwāl,27.7,83.45,Nepal,NP,Lumbinī,admin,118462,118462
Dharān,26.8167,87.2667,Nepal,NP,Province Number One,,116181,116181
Lahān,26.7167,86.4833,Nepal,NP,Madhesh,,102031,102031
Dhangaḍhi̇̄,28.7056,80.575,Nepal,NP,Sudūrpashchim,,101970,101970
Janakpur,26.7122,85.9217,Nepal,NP,Madhesh,admin,97776,97776
Heṭauḍā,27.4167,85.0333,Nepal,NP,Bāgmatī,admin,84671,84671
Godāwari̇̄,28.91,80.59,Nepal,NP,Sudūrpashchim,admin,78018,78018
Īṭahari̇̄,26.6667,87.2833,Nepal,NP,Province Number One,,74501,74501
Nepālgañj,28.05,81.6167,Nepal,NP,Lumbinī,,72503,72503
Kirtipur,27.6667,85.2833,Nepal,NP,Bāgmatī,,65602,65602
Gorkhā,28,84.6333,Nepal,NP,Karṇālī,,53285,53285
Tulsīpur,28.1278,82.2956,Nepal,NP,Lumbinī,,51537,51537
Birendranagar,28.6,81.6333,Nepal,NP,Karṇālī,admin,47914,47914
Kalaiyā,27.0333,85,Nepal,NP,Madhesh,,42826,42826
