Types,Description,Gazetted years,Area(Sq.Km.)
National Park,Chitwan National Park,1973,932
National Park,Sagarmatha National Park,1976,1148
National Park,Langtang National Park,1976,1710
National Park,Rara National Park,1976,106
National Park,Shey-Phoksundo National Park,1984,3555
National Park,Khaptad National Park,1984,225
National Park,Bardia National Park,1988,968
National Park,Makalu Barun National Park,1991,1500
National Park,Shivapuri Nagarjun National Park,2002,159
National Park,Banke National Park,2010,550
Wildlife Reserve,Shukla Phanta Wildlife Reserve,1976,305
Wildlife Reserve,Koshi Tappu Wildlife Reserve,1976,175
Wildlife Reserve,Parsa Wildlife Reserve,1984,499
Conservation Area,Annapurna Conservation Area,1992,7629
Conservation Area,Kanchanjangha Conservation Area,1997,2035
Conservation Area,Manaslu Conservation Area,1998,1663
Conservation Area,Blackbuck Conservation Area,2009,16
Conservation Area,Api Nampa Conservation Area,2010,1903
Conservation Area,Gaurishankar Conservation Area,2010,2179
Hunting Reserve,Dhorpatan Hunting Reserve,1987,1325
Buffer Zones(Areas),Chitwan National Park,1996,750
Buffer Zones(Areas),Bardia National Park,1996,327
Buffer Zones(Areas),Langtang National Park,1998,420
Buffer Zones(Areas),Shey -Phoksundo National Park,1998,1349
Buffer Zones(Areas),Makalu Barun National Park,1999,830
Buffer Zones(Areas),Sagarmatha National park,2000,275
Buffer Zones(Areas),Rara National park,2006,198
Buffer Zones(Areas),Khaptad National park,2006,216
Buffer Zones(Areas),Koshi Tappu Wildlife Reserve,2004,173
Buffer Zones(Areas),Parsa Wild life Reserve,2005,298
Buffer Zones(Areas),Suklaphanta wildlife Reserve,2004,244
Buffer Zones(Areas),Banke National Park,2010,344
Total Protected Area of Nepal in Sq.km. ,,,"29,014.52 (23.23%)"
